DISTRICT,FEDERAL_REGION,NUMBER_OF_POLLING__CENTRES,REGISTERED_VOTERS,YOWERI__KAGUTA_MUSEVENI,IS_MUSEVENI,NOT_MUSEVENI,VALID_VOTES,INVALID_VOTES,TURN_UP,NUMBER_OF_CANDIDATES,RURAL_OR_URBAN,YEAR_OF_ELECTION,OPPOSITION_SCORE_1,CULTURAL_REGION,Sentiment_Negative,Sentiment_Neutral,Sentiment_Positive
SIRONKO,Bugisu,302,"137,076","84,703",1,"22,128","106,831","2,515","109,346",6,2,2001,2,0,0,0,1
WAKISO,Buganda,759,"525,910","153,719",1,"145,117","298,836","4,656","303,492",6,7,2001,5,1,1,0,0
YUMBE,West Nile,157,"65,422","11,541",0,"22,557","34,098","2,027","36,125",6,2,2001,7,0,1,0,0
ADJUMANI,MADI,95,49447,11277,0,21511,32788,"1,990",34778,5,2,2006,7,0,1,0,0
AMOLATAR,LANGO,82,33020,7112,0,17666,24778,715,25493,5,2,2006,7,0,1,0,0
AMURIA,TESO,142,65691,7495,0,36623,44118,"1,852",45970,5,2,2006,8,0,1,0,0
APAC,LANGO,515,240639,25865,0,135232,161097,"10,391",171488,5,2,2006,8,0,1,0,0
ARUA,WEST NILE,550,281954,68560,0,115663,184223,"11,022",195245,5,4,2006,6,0,1,0,0
BUGIRI,BUSOGA,377,177525,74457,1,42520,116977,"6,854",123831,5,2,2006,4,1,0,1,0
BUKWO,SEBEI,58,23925,15865,1,1526,17391,641,18032,5,2,2006,1,0,0,0,1
BUNDIBUGYO,RWENZORI,182,89035,45651,1,13417,59068,"3,019",62087,5,2,2006,3,1,0,0,1
BUSHENYI,ANKOLE,647,308013,176909,1,53643,230552,"8,055",238607,5,3,2006,3,0,0,0,1
BUSIA,BUKEDI,237,111091,44405,1,31684,76089,"3,457",79546,5,3,2006,4,0,0,1,0
BUTALEJA,BUKEDI,150,69822,29031,1,19162,48193,"2,158",50351,5,2,2006,4,0,0,1,0
GULU,Acholi,460,215953,16866,0,110955,127821,"5,631",133452,5,4,2006,9,0,1,0,0
HOIMA,BUNYORO,259,133384,76952,1,16217,93169,"3,080",96249,5,2,2006,2,1,0,0,1
IBANDA,ANKOLE,197,87951,56896,1,7299,64195,"589,154",653349,5,2,2006,9,0,1,0,0
IGANGA,BUSOGA,613,286740,126262,1,56010,182272,"8,542",190814,5,2,2006,3,1,0,1,0
ISINGIRO,ANKOLE,302,142507,95687,1,15663,111350,"2,509",113859,5,2,2006,2,0,0,0,1
JINJA,BUSOGA,340,163681,54259,1,45300,99559,"4,686",104245,5,5,2006,5,1,1,0,0
KAABONG,KARAMOJA,109,41861,20302,1,3828,24130,"2,393",26523,5,2,2006,2,0,0,0,1
KABALE,KIGEZI,441,214840,122684,1,37144,159828,"12,758",172586,5,2,2006,3,0,0,0,1
KABAROLE,TORO,298,153042,87153,1,16589,103742,"3,876",107618,5,2,2006,2,1,0,0,1
KABERAMAIDO,TESO,126,60437,8351,0,36489,44840,"1,625",46465,5,2,2006,8,0,1,0,0
KALANGALA,BUGANDA,71,24200,7246,1,6239,13485,630,14115,5,2,2006,5,1,1,0,0
KALIRO,BUSOGA,129,59288,40076,1,4720,44796,"1,412",46208,5,2,2006,1,1,0,0,1
KAMPALA,BUGANDA,1120,764283,170688,0,261467,432155,"9,703",441858,5,8,2006,6,1,1,0,0
KAMULI,BUSOGA,452,207242,112651,1,27606,140257,"7,230",147487,5,2,2006,2,1,0,0,1
KAMWENGE,TORO,254,127799,83436,1,10007,93443,"2,190",95633,5,2,2006,1,1,0,0,1
KANUNGU,KIGEZI,186,96091,53600,1,16873,70473,"1,735",72208,5,2,2006,3,0,0,0,1
KAPCHORA,SEBEI,157,61891,33144,1,9753,42897,"5,511",48408,5,2,2006,3,0,0,1,0
KASESE,RWENZORI,446,210826,63522,0,83294,146816,"4,530",151346,5,2,2006,6,1,1,0,0
KATAKWI,TESO,113,45494,12940,0,19137,32077,"1,668",33745,5,2,2006,6,0,1,0,0
KAYUNGA,BUGANDA,276,126005,55152,1,25946,81098,"3,276",84374,5,2,2006,3,1,0,1,0
KIBAALE,BUNYORO,407,180770,116059,1,12648,128707,"4,993",133700,5,2,2006,1,1,0,0,1
KIBOGA,BUGANDA,240,115852,59478,1,12498,71976,"2,691",74667,5,2,2006,2,1,0,0,1
KIRUHURA,ANKOLE,249,104992,84046,1,6728,90774,"1,282",92056,5,2,2006,1,0,0,0,1
KISORO,KIGEZI,202,99391,72896,1,6334,79230,"2,871",82101,5,2,2006,1,0,0,0,1
KITGUM,Acholi,270,115010,13580,0,58382,71962,"3,161",75123,5,2,2006,8,0,1,0,0
KOBOKO,WEST NILE,95,48973,10343,0,18754,29097,"1,547",30644,5,2,2006,7,0,1,0,0
KOTIDO,KARAMOJA,127,56559,26842,1,4117,30959,"2,414",33373,5,2,2006,2,0,0,0,1
KUMI,TESO,306,158510,30398,0,80389,110787,"6,906",117693,5,2,2006,7,0,1,0,0
KYENJOJO,TORO,283,150354,99291,1,8915,108206,"2,696",110902,5,2,2006,1,1,0,0,1
LIRA,LANGO,498,247272,12035,0,141054,153089,"11,112",164201,5,2,2006,9,0,1,0,0
LUWEERO,BUGANDA,330,148042,61439,1,31561,93000,"3,450",96450,5,2,2006,4,1,0,1,0
MANAFA,BUGISU,360,163807,86142,1,29071,115213,"4,923",120136,5,2,2006,3,0,0,0,1
MASAKA,BUGANDA,675,317684,126561,1,87761,214322,"13,823",228145,5,5,2006,4,1,0,1,0
MASINDI,BUNYORO,351,195112,85765,1,33411,119176,"7,095",126271,5,2,2006,3,1,0,1,0
MAYUGE,BUSOGA,259,128811,48056,1,28255,76311,"3,599",79910,5,2,2006,4,1,0,1,0
MBALE,BUGISU,319,162767,49836,1,49723,99559,"3,393",102952,5,2,2006,5,0,1,0,0
MBARARA,ANKOLE,357,175401,93571,1,29056,122627,"4,667",127294,5,5,2006,3,0,0,0,1
MITYANA,BUGANDA,251,114425,51815,1,25876,77691,"2,457",80148,5,2,2006,4,1,0,1,0
MOROTO,KARAMOJA,167,63095,28363,1,5589,33952,"3,226",37178,5,2,2006,2,0,0,0,1
MOYO,MADI,115,42137,11610,0,16306,27916,"1,566",29482,5,2,2006,6,0,1,0,0
MPIGI,BUGANDA,360,168103,75988,1,37629,113617,"4,014",117631,5,2,2006,4,1,0,1,0
MUBENDE,BUGANDA,403,197597,111232,1,17060,128292,"4,428",132720,5,2,2006,2,1,0,0,1
MUKONO,BUGANDA,757,345689,123339,1,91359,214698,"6,840",221538,5,4,2006,4,1,0,1,0
NAKAPIRIPIRITI,KARAMOJA,117,46070,23635,1,2035,25670,"1,192",26862,5,2,2006,1,0,0,0,1
NAKASEKE,BUGANDA,171,63541,37495,1,7445,44940,"1,160",46100,5,2,2006,2,1,0,0,1
NAKASONGORA,BUGANDA,162,56502,35165,1,4036,39201,"1,115",40316,5,2,2006,1,1,0,0,1
NEBBI,WEST NILE,383,176766,54208,0,64166,118374,"4,887",123261,5,2,2006,6,0,1,0,0
